증상,일상말
일과성고관절활액막염 [Transient synovitis of the hip],엉덩이랑 허벅지 쪽이 찌릿찌릿 아픈데 걷기도 좀이상해지는 것 같아서 걱정되네 이거 왜이래?
일광화상 [sunburn],"햇볕 좀 쐬었더니 피부가 따끔따끔 화끈거리는 게너무 아파, 이거 심각한 거야?"
일본뇌염 [Japanese encephalitis],"머리가 지끈지끈 어프고 열도 펄펄 나고, 아지럽고멍한데 큰일난 거어니야?"
일사병 [sun stroke],"밖에 좀 있다왔는데, 머리가 띵~하고 어지럽고 열이펄펄 나네, 이거 괜찮은거겠지?"
일산화탄소 중독 [carbon monoxide poisoning],머리가 띵~하고 어지럽고 속도 울렁거리는게 왜 이러지?
임균 감염증 [gonococcal infection],소변볼 때 따끔따끔 아프고 뭐가 나오는데 이거 왜이래?
임균성 요도염 [Gonorrheal urethritis],"소변 볼 때마다 따끔따끔 타고아프고, 자꾸 찝찝하고 뭐가 계속 나와. 이게 뭐지?"
임산부 빈혈 [anemia in pregnancy],숨이 좀 헉헉 차고 자꾸 어지럽고 귀에서 윙윙 소리도 나는 거 같아서 왜이러지?
임신 [pregnancy],"속이 메스껍고 울렁울렁거리는거 있지? 갑자기 음식 냄새도 너무예민해지는거 같은데, 잉거 뭐야?"
임신 중 누운 자세 저혈압 [Supine hypotension in pregnancy],"누워있으면 아질어질하고 갑자기 숨이 턱 막혀서 너무 불안한데,잉거 왜 잉래?"
임신 초기 출혈 [the first trimester vaginal bleeding],"속이울렁울렁하고아랫배도 살살 아픈데꺼기애 출혈까지, 이거 괜찮은거야? 너무 걱정돼..."
임신성 고혈압 [gestational hypertension],머리가 띵하고 눈 앞이어질어질한게 숨쉬기도 힘든데 이거왜이래?
임신성 당뇨병 [gestational diabetes],밥 먹고 나면 항상 나른하고 힘이 쭈욱 빠지는데 이거 왜이래?
임신성 비염 [pregnancy rhinitis],아침마다 콧물이 줄줄 나고 코가 맨날 꽉 막혀서 숨쉬기 힘든데ㅜ 왜이러지?
임파구성 간질성 폐렴 [lymphoid interstitial pneumonia],숨쉴 때쌕쌕 거리면서 가슴이 답답하고 기침이계속 나는데 왜 이래?
임파선염 [lymphadenopathy],목 옆이 붓고욱신거리는 거 같고 만지면 더 아파서 왜 이러지 싶네.
입덧 [emesis gravidarum],고소한 냄새만 맡아도 울렁울렁 거리고 속이 안 좋아졌어 요즘...
자가국소 실인증 [autotopagnosia],어? 오른쪽이랑 왼쪽이랑자꾸 헷갈리고 내 몸인데 여긴 어디더라싶네...
자가면역성 간염 [autoimmune hepatitis],요즘온몸이 계속 피곤하고 욱신욱신쑤시는데 왜 이렇게 기운이 없는 거야?
자가면역질환 [Autoimmune disease],"몸이 여기도 쑤시고 저기도 쑤시고, 맨날 피곤한데왜 자꾸 이럴까?"
자간 [eclampsia],갑자기 눈앞이 어질어질하고 머리가 띵~하는데 왜 이러지?
자궁 내경관 용종 [endocervical polyp],"아랫배가 뻐근하고, 가끔씩 출혈도 보이는데이거왜이래?"
자궁 외 임신 [ectopic pregnancy],배가 콕콕아프고 어지럽고 어쩌다 피도보이는데 왜 이래...?
자궁경관무력증 [Incompetent internal os of cervix],"배가 뭉개지는느낌인데 자꾸 밑으로 쏠리는 듯한 느낌이 드네, 왜 이러지?"
자궁경부 미란과 외번 [cervical erosion and ectropion],아랫배가찌릿찌릿 아픈데 냉도 늘어나고 이게 대체왜이런거야?
자궁경부 상피내 종양 [cervical intraepithelial neoplasia],가끔씩 밑이따끔따끔한데 이거 걱정해야 되늘 거야?
"자궁경부비정형세포 [자궁경부 비정형 편평상피세포, Atypical squamous cells]",검사결과 나왔늘데뭔가 살짝 이상하대... 이거 큰일 나는거 어닝지? 괜히 찝찝해.
자궁경부암 [uterine cervical cancer],"거기 왠지 묵직하게 아프고 피도좀 나오는 것 같은데 왜 잉렇지,큰일 난 걸까?"
자궁경부염 [cervicitis],"밑이 가끔씩 찌릿찌릿 아프고 냄새도 좀 나는데, 병원 가봐야 되는 거야?"
자궁경부이형성증 [Cervical dysplasia],아랫배가 뻐근하고 생리 때마다 더 아프고 불규칙한데 이거 왜 이러지?
자궁근종 [myoma uteri],배가 묵직하고 더부룩한 느낌이자꾸 드는데 이거 왜잉러지?
자궁내막 용종 [endometrial polyp],"아랫배가 꾸물꾸물 불편하고 가끔씩 찌릿찌릿아픈데, 이게 뭘까?"
자궁내막암 [endometrial cancer],아랫배가 묵직하고 출혈도 계속 비정상적인데 잉거 진짜왜 이러지?
자궁내막염 [endometritis],"배가 살살아프고, 뭔가뜨끔뜨끔한데 이거 왜 이렇게 불편하냐..."
자궁내막증 [endometriosis],배가 꾸역꾸역아프고 찌릿찌릿 쑤시는데 그냥 넘어가도 되나?
자궁선근증 [adenomyosis],배가 막 뭉치고 무겁고 생리 때마다 찢아질 듯 아픈데뭐가 문제인거야?
자궁탈출 [uterine prolapse],"배가 묵직하고 뭔가 아래로쑥내려가늘 느낌이 드는데, 이거 왜 이러지?"
자기애성 인격장애 [narcissistic personality disorder],"사람들이 내 얘기안 들어주면속잉 부글부글 끓고, 내가제일 잘난 것 같은데 왜아무도 몰라주지?"
자반 [purpura],다리에 자잘하게 붉은 반점이 솜사탕 처럼 피어오르는데 눌러도 안 사나지네. 왜 이러냐?
자연유산 [spontaneous abortion],배가너무 쥐어짜듯이 아프고피도 좀 비치는데 이거 어쩌지?
자위중독 [masturbation addiction],"요즘 자주손목이 시큰거리고 찌릿한데, 나왜 이러지? 문제 있는 거야?"
자율신경 실조증 [autonomic dysfunction],갑자기심장이두근두근거리고 손에 땀이 줄줄... 나 왜 이래? 어디 아픈거 아냐?
자폐증 [autism],친구들이랑 있을 때 자꾸 뭔가 따로 노는 느낌이고 내 생각 말하기가 너무 힘들어... 나 왜 이러지?
작열감 [burning sensation],속이 뜨끈뜨끈 막타들어가는 느낌인데 이거 왜 그러지?
잠복결핵 [Latent tuberculosis],"요새 자꾸 기운이 없고, 괜히 밤에 식은땀도 줄줄나고... 큰일아냐?"
잠복고환 [cryptorchidism],어이구 아랫배가묵직묵직한데 제대로 된 거 맞냐?
"잠수병 [Decompression sickness, Diver's disease]",귀가 멍멍하고 머리가 띵하니 자꾸 어지럽고 숨쉬기도 이상한데 이꺼 왜 이런거지?
장 중첩증 [intussusceptions],배가 아프고 꾸르륵꾸르륵 이상한 소리 나고 막 미친듯이 아파서 움직이기힘든데 잉거 뭔 일생긴거야?
장결핵 [intestinal tuberculosis],배가 꾸룩꾸룩 아프고 설사에 열도 나는 게 도대체무슨 일이래?
장경인대 증후군 [Iliotibial band syndrome],무릎바깥쪽이찌릿찌릿 아프고 걷기만 해도 욱씬거리는데 나 뭐 잘못된거야?
장누수증후군 [Leaky gut syndrome],배가 꾸르륵 소리나면서 부글부글한 게 이거 왜 이러지?
장마비 [Paralytic ileus],배에서꾸르륵거리다가갑자기 빵빵하고아픈데변비 걸린 건가이거?
장미색 비강진 [pityriasis rosea],팔뚝애 동그란 반점 생기고 간지러운데 긁을수록 더 번지는 것 같아... 왜이래?
장상피화생 [Intestinal metaplasia],속이 쓰리고 소화가 잘안되는꺼같애... 자꾸 신물이올라오는데왜 이렇지?
장의 게실성 질환 [intestinal diverticulum],"배가 찌릿찌릿하면서 왠지 묵직하고, 화장실 갈 때마따 너무 아프고 불편해ㅜ 이거뭐야?"
장천공 [Bowel perforation],"배가 송곳으로 콕콕 찌르늘듯이 아프고 식은땀이 줄줄 흐르는데, 이거 진짜 심각한 거야?"
장출혈 [Gastrointestinal bleeding],배가 쿡쿡 아픈데 갑자기피가보이기도하고 뭐지 이거?
장티푸스 [typhoid fever],"열은 펄펄, 머리 욱신거리고 배도꾸르르 아픈데, 도대체 뭐가문제인 거야?"
장파열 [Bowel rupture],배가 찢어지는 듯 아프고 뭐가 막 쏟아지는느낌인데잉거 진짜 심각한거지?
장폐색 [intestinal obstruction],"배가 빵빵하고꾸르륵대면서 아픈데, 먹고 나면 더심해져. 이거 왜이래?"
장협착 [Bowel stricture],"배가 갑갑하고 꾸르륵 꾸르륵 소리만 나는데, 왜자꾸막힌 것처럼 답답하지?"
재발성 다발 연골염 [relapsing polychondritis],코랑 귀가 빨갛게 부어오르고 욱신거려서만지기가 너무 아픈데이거왜 이래?
재생불량성 빈혈 [aplastic anemia],"온몸이 너무 축쳐지고, 머리는핑핑 돌아...이거 왜 이래 진짜?"
재채기 [sneezing],하.. 재채기 콜록콜록계속나고코가 간질간질한데 이거 왜이러지?
저나트륨혈증 [hyponatremia],어질어질하고 머리가 띵하니 멍한데 이꺼 뭐 잘못 먹은건가?
"저산소증 [hypoxia, hypoxemia]","숨이 헉헉 차고 머리도 띵한데,이거 숨 제대로 쉬고 있는거맞아?"
저색소 침착 [hypopigmentation],"얼굴이랑 팔에 색이 오락가락, 이거 왜 이렇게 반반하니... 좀 이상해."
저신장 [short stature],친구들이 자꾸키 작다고 놀리는데 나도 왜 이렇게 안 크는지 걱정돼...
저온화상 [Low-temperature burn],"피부가빨개지고 따끔따끔 아프더니 물집까지 잡혔어, 이거 어떡하지?"
저체온증 [hypothermia],몸이 으슬으슬 춥고 손발이 꽁꽁 얼었는데 잉거 왜 이러지?
저칼륨혈증 [hypokalemia],"몸에 힘이없고 팔다리가 저릿저릿한데, 뭐 잘못 먹었나?"
저칼슘혈증 [Hypocalcemia],"온몸이 찌릿찌릿, 손발이 저리고 근육도막 떨리는데 잉거 나 뭐 잘못 먹었나?"
저혈당증 [hypoglycemia],막갑자기 어지럽고 식은땀이 줄줄... 손이 덜덜 떨려서밥 먹어야 하라?
저혈압 [low blood pressure],아침애일어날 때마따 머리가 띵하고 눈앞이 핑 도는데 이거 큰일 아니겠지?
적응장애 [adjustment disorder],요즘 자꾸 우울하고 얼룩덜룩 기분이 왔다갔다 하는데 나 왜 이러지?
적혈구 과다증 [erythrocytosis],얼굴이 붉게 달아오르고 가슴이 두근두근 뛰는데 이거 왜이래?
전격성 간염 [fulminant hepatic failure],속이 미식미식울렁꺼리고 온몸이 축 처지는데 눈까지 노래지고... 이거 뭐가 문제인 거야?
전립선 비대증 [benign prostatic hyperplasia],"화장실자주가는데 시원하지도않고 밤에도 자꾸 깨서피곤한데, 이거 왜이래?"
전립선암 [prostate cancer],소변 볼 때 찌릿찌릿 아프고 자꾸 화장실가고싶은데.. 큰일인거 아니야?
전립선염 [prostatitis],아랫배가 묵직하고화장실 갈 때마다 찌릿찌릿 아픈데 이거 뭐양?
전신 부종 [generalized edema],몸이 퉁퉁 부어서옷이 꽉 끼고 눌러보면쑥 들어가는데 왜 이러지?
전음성 및 감각신경성 난청 [conductive and sensorineural hearing loss],"귀가 멍멍하고 웅웅거리는데 소리가 잘 안 들리는 것 같아, 왜이러지?"
전이 [metastasis],요새 자꾸여기저기 쿡쿡 쑤시고 아프고 이상한 데서 더 아파지면 어쩌지?
전자간증 [pre-eclampsia],머리가 지끈지끈 어프고 눈앞이 번쩍거리는데 다리까지 퉁퉁 부어올라서 이거 어떡하지?
전정 신경염 [vestibular neuritis],갑자기 핑핑 돌고 어지러워서넘어질 뻔 했는데이거 왜 이래?
전치태반 [placenta previa],"갑자기 배가쿡쿡 아프고, 밑에서 피가 나와서 너무당황스러운데 무슨 일인거야?"
절박뇨 [urgency],갑자기화장실 가고 싶어서 뛰어가는데 아슬아슬할때가 많아... 이거뭐지?
절박유산 [threatened abortion],배가 뭔가쥐어짜듯이 아프고 피도 살짝비치는데 큰일 나는 거 아냐?
점액낭염 [Bursitis],어깨가 욱신욱신하고팔움직일때마다 찌릿찌릿 불편한데 이거뭐야?
점액낭종 [Mucocele],입안에 뭔가 둥글둥글하고 투명한 게 자꾸 생기고 없아지고그러는데 이거 뭐야?
점액수종 [myxedema],온몸이 퉁퉁 붓고 춥고 피곤해서자꾸 졸린데 이거 왜 잉럴까?
접촉성 피부염 [contact dermatitis],뭔가 닿기만 하면 따끔따끔 가렵고 빨갛게 부어오르는데 도대체왜 이래?
정계정맥류 [varicocele],사타구니 쪽이 묵직하고 불편한데 가끔 욱신거리는 느낌도 들고 이게 뭘까?
정상안압 녹내장 [normal tension glaucoma],시야가흐릿하고한쪽이 어두운 거 같은데 이거 큰일 난거 아냐?
젖샘관막힘 [Plugged milk ducts],가슴이 빵빵하고 욱신거리면서만지면 아픈데 이꺼풀리는건가?
제자리암 [Carcinoma in situ],이상하게여기저기 뭐가 만져지는데아프진않은데... 왜 자꾸 걱정되냐?
조갑이영양증 [Nail dystrophy],손톱이 울퉁불퉁해지고 툭하면 갈라져서 자꾸 걸리적거리고아픈데이거 왜 이래?
조갑주위염 [Paronychia],손톱 옆이 빨개지고 욱신욱신 아픈데 눌렀더니고름까지 나오는거 있지? 이거 어쩌냐ㅠㅠ
조갑하혈종 [Subungual hematoma],손톱밑이 시퍼렇게 멍들고 욱신거리는데또 물건 잘못떨어뜨려서그런가?
조기 폐경 [premature ovarian failure],"생리가뜸해지고 얼굴이 훅 달아오르면서가슴이두근두근,이거 나만 그런거야?"
조루 [premature ejaculation],이거 왜이리 금방끝나버리지..? ㅜ 당황스러워서 미치겠네.
조류인플루엔자 [avian influenza],"열이 펄펄 나고 온몸이 쑤시고 아픈데목도칼칼하고, 이거 독감인거야뭐야?"
조산 [preterm birth],"배가 뭉치고 팽팽해서 뭔가 똑딱거리는 느낌인데,애기가 왜 자꾸 빨리 나오려고 하는 것같지?"
조울증 [bipolar disorder],"기분이 롤러코스터 타듯이 왔다갔다 하는데왜 이러지? 갑자기 울적하다가도너무 들뜨고, 머릿속이 빙글빙글"
조현병 [schizophrenia],"자꾸 누가날 쳐다보는 것 같고, 속이어지럽고 이상한 소리도 들리는 거 있지...나 큰일 난걸까?"
조현성 성격장애 [schizoid personality disorder],"사람들이랑 얘기하는게 영 어색하고 불편해서자꾸 피하게 되는데, 나왜이러지?"
족저근막염 [plantar fasciitis],발바닥이 찌릿찌릿 아프고 아침에 일어날때걸을 때마다 통증이 심한데 뭐야 이거?
종기 [furuncle],피부가 욱신욱신붓고 계속 따끔거려서 만질 때마다아픈데 왜 이러지?
종아리통증 [Calf pain],종아리가 뻐근하고 욱신거리는데 걷기만해도 아픈데 뭔일 생긴거양?
종창 [swelling],몸이 퉁퉁 붓고 묵직해서 꽉 낀 느낌인데 이거 왜이래?
좌골신경통 [sciatica],"허리부터다리까지 저릿저릿 찌릿한 게 전기 오는것처럼아픈데, 이거 멀쩡해질까?"
주간 졸림 [daytime hypersomnolence],"눈은 계속 감기고 하품도계속 나오는데, 밤에잠푹 잔거맞나? 왜 잉렇게 피곤하지?"
주근깨 [freckle],이 얼굴에 쏟아진 작은 점들이 자꾸 늘어나는 것 같은데 왜 이렇게된거야?
주기성 근육마비 [periodic paralysis],갑자기 팔다리가 힘이 쭉빠지고 뻣뻣해져서 움직이기가너무 힘든데 왜이래?
주름살 [wrinkle],"얼굴이 자꾸 축 쳐지고팽팽한 느낌이없어지닝 거울 볼때마다 깜짝 놀라,나 늙은거야?"
주부 습진 [housewife`s eczema],"손잉랑 손가락이 간질간질하고빨갛게 되면서 피부가 벗겨지는데 설거지를 할수록 더 심해지는거같아, 이거 아쩌지?"
주사 [rosacea],"얼굴이 빨개지고 따끔따끔 간지러운데, 열이라도 나는 건가?"
주의력결핍 과잉행동장애 [attention deficit / hyperactivity disorder],"머리가 멍하고 집중이 안되서 가만히 못 있겠고 산만하단 말이 자꾸 들어, 왜 이러지?"
주폐포자충 폐렴 [pneumocystis pneumonia],기침이쿨럭쿨럭 나고 숨 쉴 때 갑갑한데 어쩌지 이거?
죽상동맥경화증 [atherosclerosis],다리가 저릿저릿하고 아플 때도 많고왠지 찌릿찌릿한 기분인데이거 왜이러지?
중독성 다결절 갑상선종 [toxic multinodular goiter],"요즘 맨날 심장이 두근두근하고 식은땀 줄줄, 밤에 잠도 잘 안 오는데왜 이래?"
중동 호흡기 증후군(메르스) [Middle East Respiratory Syndrome],"열은 펄펄 나고 숨쉬늘데 쿨럭쿨럭, 몸이 막 힘든데 이건 또 무슨 일이야?"
중증 근무력증 [myasthenia gravis],고개가자꾸 축쳐지고 눈뜨기가 힘든데왜 이렇께 힘이 없지?
중증 급성 호흡기 증후군 [severe acute respiratory syndrome],숨쉬기가 쌕쌕거리고 막 가슴이 꽉 조여오는 느낌인데 잉거 왜이렇게 힘든거야?
중증 열성 혈소판 감소 증후군 [Severe Fever with Thrombocytopenia Syndrome],"몸에힘이 없고 열이 펄펄, 여기저기 멍처럼 피멍이 드는데무슨 일이지?"
중추성 현훈 [central vertigo],"어지럽고 머리가 빙글빙글 도는데멀쩡히 걸아다닐 수가 없네,왜이럴까?"
쥐(Cramp) [Muscle cramping],다리 근육잉 갑자기꽉 조여지면서 아야야 하니까 너무 깜짝 놀랐어.왜 이래?
쥐매개감염병 [Rodent-borne disease],"열은 펄펄 나고, 온몸이 으슬우슬한데 혹시쥐 때문인가?"
지간신경종 [Morton's neuroma],"발바닥잉 찌릿찌릿 아프고걸을 때마다 바늘로 콕콕 찌르는것 같아서 신발 신기도 겁나는데, 왜이러냐?"
지루성피부염 [seborrheic dermatitis],얼굴이랑 두피가 간지럽고 빨개지고 막 비듬처럼 허옇게 일어나는데이거 어쩌지?
지루증 [delayed ejaculation],"이게진짜 스트레스인데, 왜 이렇게 끝까지 안 되는 거야... 나만 이런 거 아니지?"
"지방 척수 수막류 [lumbosacral lipoma, lipomeningocele]",허리가 묵직하고 다리도 자꾸 저릿저릿한데 이거 무슨 일잉래?
지방간 [fatty liver],"요새배가 계속 더부룩하고 눌렀을 때묵직한 느낌인데,괜찮은거겠지?"
지방종 [lipoma],부드럽고 몽글몽글한 게 만지면 움직이는데 아프진 않아.이거 뭐지?
지적 장애 [intellectual disability],해야 할 말 자꾸 까먹고 머리가멍한데 이거 나만 그런거야?
지주막낭종 [arachnoid cyst],"머리가욱신 욱신 아프고, 어지럽고 속이 메스꺼운데 이게 뭘까?"
지주막하 출혈 [subarachnoid hemorrhage],"갑자기 머리가 뭔가 번쩍!하더닝 깨질듯이 아파 죽겠어, 이거 큰일나늘 거 아냐?"
지체 장애 [physical disability],"다리가 자꾸 후들후들떨리고 맘대로 안 움직이늘데, 이거 왜 이러냐?"
직업성 천식 [occupational asthma],회사만 가면 쿨럭쿨럭 기침 터지고숨이 갑갑한데 왜 이러는 거야?
직장 탈출증 [rectal prolapse],앉아있으면 뭔가 빠져나오는 느낌인데 잉거심각한거냐?
직장암 [rectal cancer],배아랫쪽이 계속 뻐근하고 갑자기 변 보는 게 힘들어진 듯... 왜 이러지?
진전(tremor) [Tremor],손이 자꾸 덜덜 떨려서 밥 먹기도 힘든데이거 왜 잉래?
진주종 [cholesteatoma],귀에서 막 킁킁냄새나고 지지직 소리도 들리는데 이거 왜 잉래?
진주종성 만성 중이염 [chronic otitis media with cholesteatoma],귓속이꽉찬 느낌 들면서 지끈지끈 어픈데... 이거 큰일나는 거 아니겠지?
진통 [labor],"배가 콕콕 거리면서 점점빡빡해지는 느낌인데, 지금이 그 때인가?"
진폐증 [pneumoconiosis],"숨쉴 때마다 쌕쌕 거리고 가슴이 답답한데, 먼지 많이 마셔서그런가?"
질 출혈 [vaginal bleeding],갑자기 피가 주륵주륵... 이거 왜 잉래? 괜찮은거 맞나?
질건조증 [Vaginal dryness],"따끔따끔, 가렵고답답한데어프기까지 해서 뭐가 문제인지 모르겠어."
"쯔쯔가무시 [scrub typhus, tsutsugamushi, scrub typhus]","몸이 으슬으슬 춥고머리가 지끈지끈 아픈데, 온몸에작은빨간 반점까지... 이거 뭐야?"
찰과상 [abrasion],"무릎이 따끔따끔 쓰나리고피도 좀 났는데, 잉거 약 발라야 돼?"
처녀막 폐쇄증 [imperforate hymen],배가 빵빵하고 아랫배가 욱신욱신 아픈데 왜 잉러지? ㅠㅠ
척수 공동증 [syringomyelia],목 뒤에서 부터 팔까지 찌릿찌릿 저려오고 힘도 잘 안 들어가는데이거 뭐냐...?
척수병증 [myelopathy],온몸이 찌릿찌릿저려오고다리 힘도 없고 자꾸 휘청거리는게 뭐지 이거?
척수소뇌변성증 [spinocerebellar degeneration],"걸음이 자꾸 비틀비틀 거리고 손도 덜덜 떨려서물도 못따르겠어,이거 왜 이래?"
척수염 [myelitis],허리랑 다리가찌릿찌릿 저리고움직일 때마다 힘이 없는데왜 이러지?
척추 분리증 [spondylolysis],허리 뒤쪽이 찌릿찌릿 아프고 움직일 때마다 딱 소리 나는데 왜 이러지?
척추 종양 [spinal tumor],허리가 찌릿찌릿 아프고 다리가 저릿저릿한데 이거 어떡하지?
척추결핵 [spinal tuberculosis],등쪽이 찌릿찌릿 아프고 숨쉬기도 힘든데이거 큰일 나는거 아냐?
척추관 협착증 [spinal stenosis],허리가 저릿저릿아프고다리가찌릿찌릿 저려서 걷기도 힘든데이거 왜 이래?
척추전만증 [lordosis],허리가 너무휘어서 자꾸뒤로 젖혀지고 아랫등이 꽉 끼는 느낌인데왜이러지?
척추측만증 [scoliosis],허리가 꾸부정하고 한쪽으로더 기울어진 것 같아... 왜 이러지?
척추후만증 [kyphosis],"허리가 점점 꼬부라지는 거 같고, 계속 아파서꼿꼿이 못 걷겠어ㅠㅠ이꺼 왜 이래?"
천명 [wheezing],숨쉴때 쌕쌕거리고 가슴이 뭔가꽉 막힌 느낌인데이거 어떡해?
천식 [asthma],숨 쉴때 쌕쌕거리고 가슴이 꽉 조여오는 느낌인데 잉거 괜찮은거야?
천포창 [pemphigus],피부가물집투성이에 간지럽고 따끔따끔 아파서 옷 입기도겁나늘데 이거언제나아?
철결핍성 빈혈 [iron deficiency anemia],"어지럽고 힘이 없어서 좀만 걸어도 헥헥거리고 얼굴이 창백한데, 이꺼뭔가문제인거야?"
청색증 [cyanosis],입술이랑 손가락이 파래지고 시려운 느낌드는데 이거 뭔가 이상한데?
청신경초종 [vestibular schwannoma],어지럽고 귓속에서 웅웅 소리계속 나는데 왜 이래?
체중 감소 [weight loss],밥 잘 먹는데 살이 스르륵 빠져서 왜 이러지..?
체중 증가 [weight gain],요즘살이 훅훅 찌고 바지다 꽉 끼는데 밤마다 야식이 문제인 건가?
초경 [Menarche],"아 배가 콕콕 아프고, 자꾸 찌끈찌끈 그러더니 속옷에 피가묻었어. 이거 뭐야?"
초자체 출혈 [vitreous hemorrhage],"눈앞이 갑자기 뿌옇고번쩍번쩍 거리는게 자꾸 불편해, 왜 이러지?"
추간판 탈출증 [lumbar herniated intervertebral disc],허리가 쿡쿡 찌르듯 아프고 다리가 저릿저릿한데잉대로 두면큰일날까?
추위민감증 [cold intolerance],추워서 덜덜덜떠는데 나만 이러는거야? 왜 이렇게 유난히추위를 못 견디겠지?
"춘곤증 [spring fatigue, spring fever]",계속하품만 라오고 꾸벅꾸벅졸리는데 이거 왜 이러지...
출혈 [hemorrhage],피가 철철 흐르는데멈추질않어서 걱정되네이거큰일인가?
출혈성 질환 [bleeding disorders],"몸에멍이랑 피가 여기저기 자꾸 생기고, 툭하면 코피나는데 잉거왜 이러지?"
충동조절장애 [impulse control disorders],"요즘 화가 퍽퍽 치밀어 오르고 확 지르고 싶은충동이 막 드는데, 뭐지이거 나만 그런가?"
충수염 [appendicitis],배가갑자기 찌릿찌릿 아프고 오른쪽어래가 점점더 쿡쿡 쑤시는데 이거 큰일인가?
충혈 [hyperemia],눈이 벌게지고막 화끈화끈 거리는거 있지? 이거 왜 이렇게된거야?
췌장물혹 [Pancreatic cyst],배가살살 아픈데 뭔가 껄쩍지근하고 소화도 안 되는 것 같아. 이게 뭐야?
췌장암 [pancreatic cancer],"배가 욱신욱신 아프고 누렇누렇한 게 입맛도없고 어쩐지 피곤해서 큰일이네,.?"
측두동맥염 [temporal arteritis],관자놀잉가 욱신욱신하고머리까지 찌릿찌릿한데 이거왜 이러지?
"측두엽간질 [temporallobeepilepsy, 측두엽 뇌전증, Temporal lobe epilepsy]","갑자기 머리가 핑 돌면서 멍해지고 기억도 가물가물, 이거 왜 그러지?"
치루 [anal fistula],엉덩이가 욱신욱신 아프고 앉으면 찌릿찌릿한데...왜 자꾸 이러지?
치아 우식증 [dental caries],"이 쪽쪽 썩는 냄새 나고 시린 게 뭐 씹을 때마다 어휴, 이거 큰일난 거 아냐?"
"치아발육 및 맹출 장애 [tooth development disorder, tooth eruption disorder]",이가 쑤욱 안나오고 잇몸이 욱신욱신 아픈데 뭐가 문제인거지?
치열 [anal fissure],엉덩잉가 찢어질것처럼 따끔따끔하고 화장실갈 때마다 너무 아파서 앉지도 못하겠어ㅠㅠ
치주 질환 [periodontal disease],이가 시큰시큰하고 피까지 나는데 이거 심각한 꺼아냐?
치통 [toothache],"이가 너무 욱씬욱씬 아파서 먹을때마다 정신이 혼미해지는 거 있지, 이께 뭐냐 진짜?"
치핵 [hemorrhoid],엉덩이 쪽이 간질간질하고 앉으면 아파서찡그리게 되는데 이거 왜 이래ㅠㅠ?
침샘막힘 [Salivary duct obstruction],입안이 마르고 몽글몽글부어서 침 삼키기도 뻐근한데잉거 왜 이러지?
침샘비대증 [Salivary gland hypertrophy],입안이 자꾸 꺼끌꺼끌 붓고 침이 질질 나와서 말하기가 불편한데 이께 뭐지?
침샘암 [salivary gland tumor],"입안이랑 턱이묘하게 욱신욱신 아프고,침 삼킬 때좀 뻐근한느낌인데 잉게뭘까?"
침샘염 [Sialadenitis],"볼 한쪽잉 붓고 욱신거려서 음식을씹으려고 해도 아파서 미치겠어, 이게 뭐야?"
카로틴혈증 [Carotenemia],손발바닥이랑 코끝이 노랗게 변했는데 뭔가 귤많이 먹은 느낌이양. 이거 왜 이래?
카바페넴 내성 장내세균 [carbapenem-resistant Enterobacteriaceae],"배가 꾸르륵거리고 울렁울렁, 갑자기 열도 나고 머리도 지끈지끈 아픈데 왜이래?"
카포시 육종 [kaposi’s sarcoma],피부에 이상한 보라색 점들이 갑자기 생기고 가려워서 긁적긁적... 이거 나만 잉런 거야?
칸디다 질염 [candida vaginitis],간지럽고 따끔따끔한데이상하게 냄새도 좀 나는 것 같아ㅠ 왜 이러지?
칸디다증 [candidiasis],"가려워서 막 벅벅 긁고 싶고, 빨갛게 뭐가나서 난리야 이게 뭐지?"
"코골이 및 수면 무호흡 [snoring, sleep apnea]",자는 동안 코골고 가끔 숨이 턱 막혀서 깜짝 놀래서깨는데왜이래?
콜레라 [cholera],배가 꾸르륵하면서 수시로 왔다갔다 화장실 가야하고 속도 울렁꺼리는게 큰일이네.
콜린성두드러기 [Cholinergic urticaria],땀이삐질삐질 나면서온몸에두드러기가 몽글몽글 올라와서 너무 간지러워 미치겠어.
콧물 [rhinorrhea],콧물잉 줄줄 나고 휴지는한 통씩 쓰는데 감기인가?
쿠싱 증후군 [Cushing’s syndrome],얼굴이 빵빵해지고 배는동그랗게 나오는데살도 쉽게 멍들고 왜 이러지?
크레틴병 [cretinism],온몸이 축 늘어지고 뭐랄까... 멍한 게 집중이 하나도 안돼. 나왜 이러지?
크로이츠펠트-야콥병 [Creutzfeldt-Jakob disease],"머리가 지끈지끈 아프고정신이멍해서 자꾸헷갈리는데 왜이러지, 무서워..."
크론병 [Crohn’s disease],배가 꼬르륵거리면서 콕콕 아프고 화장실 왔따갔다 정신 없어 이거 뭐야?
클라인펠터 증후군 [klinefelter syndrome],요즘 피곤해도 너무 피곤하고 힘도없고... 갑자기 왜케 축축늘어지지?
타까야수동맥염 [Takayasu’s arteritis],팔이랑 다리가 저릿저릿 힘이 없고 이상하게쫌 붓는느낌인데 왜 잉러지?
타박상 [contusion],여기저기 멍들고 욱씬 욱씬 아픈데 이거 어쩌지?
타석증 [sialolithiasis],입안이여기저기 아프고 침나올때마다 찌릿찌릿한데 이거 뭐 문제있늘거야?
탄저병 [anthrax],고열이랑 근육이 찢아질듯잉 아픈데 가슴이답답하고 숨쉬기 힘든데 이거 뭐야..?
